product_id,product_name,category,unit_cost,unit_price,reorder_point
P0001,Household Product 1,Household,1.62,2.31,38
P0002,Dairy Product 2,Dairy,12.57,23.0,21
P0003,Pantry Product 3,Pantry,1.73,2.27,39
P0004,Pantry Product 4,Pantry,10.63,18.23,79
P0005,Frozen Product 5,Frozen,8.75,12.52,10
P0006,Dairy Product 6,Dairy,6.92,9.35,53
P0007,Snacks Product 7,Snacks,7.58,11.24,54
P0008,Pantry Product 8,Pantry,14.76,25.45,78
P0009,Snacks Product 9,Snacks,2.52,3.63,56
P0010,Pantry Product 10,Pantry,13.04,16.69,39
P0011,Beverages Product 11,Beverages,15.57,28.23,58
P0012,Beverages Product 12,Beverages,11.88,17.67,57
P0013,Beverages Product 13,Beverages,12.46,21.26,19
P0014,Pantry Product 14,Pantry,10.17,14.33,69
P0015,Frozen Product 15,Frozen,17.82,29.69,38
P0016,Household Product 16,Household,15.36,26.95,39
P0017,Snacks Product 17,Snacks,7.94,10.27,50
P0018,Dairy Product 18,Dairy,7.85,14.48,68
P0019,Dairy Product 19,Dairy,3.55,6.16,78
P0020,Beverages Product 20,Beverages,16.28,24.58,38
P0021,Dairy Product 21,Dairy,2.73,3.5,24
P0022,Dairy Product 22,Dairy,14.51,22.12,18
P0023,Frozen Product 23,Frozen,11.21,17.42,42
P0024,Pantry Product 24,Pantry,12.63,16.73,78
P0025,Beverages Product 25,Beverages,3.07,4.71,68
P0026,Snacks Product 26,Snacks,17.53,30.59,74
P0027,Snacks Product 27,Snacks,15.34,24.24,35
P0028,Dairy Product 28,Dairy,14.01,22.42,77
P0029,Snacks Product 29,Snacks,9.41,12.45,56
P0030,Beverages Product 30,Beverages,2.17,3.95,20
P0031,Snacks Product 31,Snacks,14.91,28.12,78
P0032,Dairy Product 32,Dairy,12.28,22.91,31
P0033,Beverages Product 33,Beverages,17.4,32.26,35
P0034,Household Product 34,Household,7.9,13.32,57
P0035,Frozen Product 35,Frozen,3.23,4.51,53
P0036,Snacks Product 36,Snacks,11.09,13.91,17
P0037,Dairy Product 37,Dairy,16.41,29.68,19
P0038,Pantry Product 38,Pantry,5.88,9.21,79
P0039,Dairy Product 39,Dairy,5.28,8.22,62
P0040,Dairy Product 40,Dairy,2.83,4.33,64
