sale_id,sale_date,product_id,customer_id,quantity,unit_price,revenue,payment_method
S0000001,2025-01-01,P0040,C00184,1,4.33,4.33,Card
S0000002,2025-01-01,P0027,C00362,4,24.24,96.96,Card
S0000003,2025-01-01,P0005,C00466,2,12.52,25.04,Digital Wallet
S0000004,2025-01-01,P0009,C00053,1,3.63,3.63,Cash
S0000005,2025-01-01,P0009,C00409,2,3.63,7.26,Digital Wallet
S0000006,2025-01-01,P0019,C00180,1,6.16,6.16,Digital Wallet
S0000007,2025-01-01,P0016,C00323,4,26.95,107.8,Digital Wallet
S0000008,2025-01-01,P0020,C00231,4,24.58,98.32,Cash
S0000009,2025-01-01,P0028,C00282,2,22.42,44.84,Cash
S0000010,2025-01-01,P0030,C00047,1,3.95,3.95,Card
S0000011,2025-01-01,P0028,C00039,2,22.42,44.84,Digital Wallet
S0000012,2025-01-01,P0003,C00236,3,2.27,6.81,Card
S0000013,2025-01-01,P0019,C00212,1,6.16,6.16,Cash
S0000014,2025-01-01,P0022,C00223,1,22.12,22.12,Cash
S0000015,2025-01-01,P0026,C00498,5,30.59,152.95,Cash
S0000016,2025-01-01,P0039,C00250,1,8.22,8.22,Cash
S0000017,2025-01-01,P0024,C00159,1,16.73,16.73,Digital Wallet
S0000018,2025-01-01,P0012,C00344,2,17.67,35.34,Card
S0000019,2025-01-01,P0014,C00034,3,14.33,42.99,Cash
S0000020,2025-01-01,P0026,C00297,1,30.59,30.59,Card
S0000021,2025-01-01,P0039,C00079,2,8.22,16.44,Cash
S0000022,2025-01-01,P0036,C00075,2,13.91,27.82,Card
S0000023,2025-01-01,P0022,C00315,1,22.12,22.12,Card
S0000024,2025-01-01,P0010,C00033,5,16.69,83.45,Cash
S0000025,2025-01-01,P0040,C00054,3,4.33,12.99,Cash
S0000026,2025-01-01,P0034,C00061,1,13.32,13.32,Card
S0000027,2025-01-01,P0026,C00297,1,30.59,30.59,Digital Wallet
S0000028,2025-01-01,P0009,C00103,2,3.63,7.26,Cash
S0000029,2025-01-01,P0016,C00294,1,26.95,26.95,Cash
S0000030,2025-01-01,P0010,C00182,4,16.69,66.76,Digital Wallet
S0000031,2025-01-01,P0005,C00309,3,12.52,37.56,Digital Wallet
S0000032,2025-01-01,P0030,C00062,1,3.95,3.95,Cash
S0000033,2025-01-01,P0037,C00008,1,29.68,29.68,Cash
S0000034,2025-01-01,P0036,C00401,4,13.91,55.64,Cash
S0000035,2025-01-01,P0033,C00184,2,32.26,64.52,Cash
S0000036,2025-01-01,P0016,C00072,4,26.95,107.8,Card
S0000037,2025-01-01,P0002,C00383,3,23.0,69.0,Card
S0000038,2025-01-01,P0038,C00079,2,9.21,18.42,Card
S0000039,2025-01-01,P0033,C00035,5,32.26,161.3,Cash
S0000040,2025-01-02,P0016,C00072,3,26.95,80.85,Card
S0000041,2025-01-02,P0016,C00071,3,26.95,80.85,Cash
S0000042,2025-01-02,P0009,C00078,1,3.63,3.63,Cash
S0000043,2025-01-02,P0019,C00155,1,6.16,6.16,Card
S0000044,2025-01-02,P0037,C00235,2,29.68,59.36,Cash
S0000045,2025-01-02,P0031,C00220,2,28.12,56.24,Card
S0000046,2025-01-02,P0032,C00073,3,22.91,68.73,Card
S0000047,2025-01-02,P0014,C00014,1,14.33,14.33,Card
S0000048,2025-01-02,P0012,C00405,2,17.67,35.34,Card
S0000049,2025-01-02,P0014,C00001,3,14.33,42.99,Card
S0000050,2025-01-02,P0015,C00259,4,29.69,118.76,Digital Wallet
S0000051,2025-01-02,P0028,C00105,1,22.42,22.42,Digital Wallet
S0000052,2025-01-02,P0023,C00268,5,17.42,87.1,Digital Wallet
S0000053,2025-01-02,P0016,C00339,1,26.95,26.95,Digital Wallet
S0000054,2025-01-02,P0001,C00216,3,2.31,6.93,Digital Wallet
S0000055,2025-01-02,P0026,C00190,1,30.59,30.59,Card
S0000056,2025-01-02,P0028,C00220,1,22.42,22.42,Cash
S0000057,2025-01-02,P0036,C00476,1,13.91,13.91,Cash
S0000058,2025-01-02,P0031,C00455,2,28.12,56.24,Card
S0000059,2025-01-02,P0036,C00091,1,13.91,13.91,Cash
S0000060,2025-01-02,P0003,C00087,2,2.27,4.54,Cash
S0000061,2025-01-02,P0040,C00216,2,4.33,8.66,Digital Wallet
S0000062,2025-01-02,P0008,C00346,2,25.45,50.9,Digital Wallet
S0000063,2025-01-02,P0029,C00208,1,12.45,12.45,Digital Wallet
S0000064,2025-01-02,P0027,C00050,4,24.24,96.96,Cash
S0000065,2025-01-02,P0035,C00419,1,4.51,4.51,Digital Wallet
S0000066,2025-01-02,P0002,C00336,2,23.0,46.0,Card
S0000067,2025-01-02,P0040,C00401,3,4.33,12.99,Cash
S0000068,2025-01-02,P0004,C00268,5,18.23,91.15,Cash
S0000069,2025-01-02,P0002,C00250,2,23.0,46.0,Digital Wallet
S0000070,2025-01-02,P0003,C00086,3,2.27,6.81,Card
S0000071,2025-01-02,P0035,C00486,2,4.51,9.02,Digital Wallet
S0000072,2025-01-02,P0003,C00045,4,2.27,9.08,Digital Wallet
S0000073,2025-01-02,P0032,C00333,5,22.91,114.55,Cash
S0000074,2025-01-02,P0026,C00277,1,30.59,30.59,Cash
S0000075,2025-01-02,P0019,C00440,5,6.16,30.8,Digital Wallet
S0000076,2025-01-02,P0010,C00111,2,16.69,33.38,Cash
S0000077,2025-01-02,P0027,C00421,4,24.24,96.96,Cash
S0000078,2025-01-02,P0010,C00319,3,16.69,50.07,Cash
S0000079,2025-01-02,P0035,C00226,5,4.51,22.55,Digital Wallet
S0000080,2025-01-02,P0005,C00161,2,12.52,25.04,Cash
S0000081,2025-01-02,P0017,C00450,5,10.27,51.35,Digital Wallet
S0000082,2025-01-02,P0006,C00230,2,9.35,18.7,Cash
S0000083,2025-01-02,P0022,C00220,1,22.12,22.12,Card
S0000084,2025-01-02,P0021,C00393,2,3.5,7.0,Cash
S0000085,2025-01-02,P0026,C00078,1,30.59,30.59,Digital Wallet
