sale_id,sale_date,product_id,customer_id,supplier_id,quantity,revenue,gross_profit,payment_method
S0000001,2025-01-01,P0040,C00184,SUP002,1,4.33,1.5,Card
S0000002,2025-01-01,P0027,C00362,SUP005,4,96.96,35.599999999999994,Card
S0000003,2025-01-01,P0005,C00466,SUP004,2,25.04,7.539999999999999,Digital Wallet
S0000004,2025-01-01,P0009,C00053,SUP007,1,3.63,1.1099999999999999,Cash
S0000005,2025-01-01,P0009,C00409,SUP007,2,7.26,2.2199999999999998,Digital Wallet
S0000006,2025-01-01,P0019,C00180,SUP005,1,6.16,2.6100000000000003,Digital Wallet
S0000007,2025-01-01,P0016,C00323,SUP006,4,107.8,46.36,Digital Wallet
S0000008,2025-01-01,P0020,C00231,SUP007,4,98.32,33.19999999999999,Cash
S0000009,2025-01-01,P0028,C00282,SUP006,2,44.84,16.820000000000004,Cash
S0000010,2025-01-01,P0030,C00047,SUP004,1,3.95,1.7800000000000002,Card
S0000011,2025-01-01,P0028,C00039,SUP006,2,44.84,16.820000000000004,Digital Wallet
S0000012,2025-01-01,P0003,C00236,SUP007,3,6.81,1.62,Card
S0000013,2025-01-01,P0019,C00212,SUP005,1,6.16,2.6100000000000003,Cash
S0000014,2025-01-01,P0022,C00223,SUP003,1,22.12,7.610000000000001,Cash
S0000015,2025-01-01,P0026,C00498,SUP005,5,152.95,65.29999999999998,Cash
S0000016,2025-01-01,P0039,C00250,SUP008,1,8.22,2.9400000000000004,Cash
S0000017,2025-01-01,P0024,C00159,SUP001,1,16.73,4.1,Digital Wallet
S0000018,2025-01-01,P0012,C00344,SUP008,2,35.34,11.580000000000002,Card
S0000019,2025-01-01,P0014,C00034,SUP003,3,42.99,12.480000000000004,Cash
S0000020,2025-01-01,P0026,C00297,SUP005,1,30.59,13.059999999999999,Card
S0000021,2025-01-01,P0039,C00079,SUP008,2,16.44,5.880000000000001,Cash
S0000022,2025-01-01,P0036,C00075,SUP004,2,27.82,5.640000000000001,Card
S0000023,2025-01-01,P0022,C00315,SUP003,1,22.12,7.610000000000001,Card
S0000024,2025-01-01,P0010,C00033,SUP004,5,83.45,18.250000000000014,Cash
S0000025,2025-01-01,P0040,C00054,SUP002,3,12.99,4.5,Cash
S0000026,2025-01-01,P0034,C00061,SUP005,1,13.32,5.42,Card
S0000027,2025-01-01,P0026,C00297,SUP005,1,30.59,13.059999999999999,Digital Wallet
S0000028,2025-01-01,P0009,C00103,SUP007,2,7.26,2.2199999999999998,Cash
S0000029,2025-01-01,P0016,C00294,SUP006,1,26.95,11.59,Cash
S0000030,2025-01-01,P0010,C00182,SUP004,4,66.76,14.600000000000009,Digital Wallet
